"","site_name","site","day","latest_temperature","lon","lat"
"117","Chesterfield Loundsley Green","chlg","2016-07-04",13.75,"-1.454946","53.244131"
"118","Chesterfield Loundsley Green","chlg","2016-07-05",17,"-1.454946","53.244131"
"119","Chesterfield Loundsley Green","chlg",NA,12.2,"-1.454946","53.244131"
"120","Chesterfield Roadside","chs7","2016-06-30",13.35,"-1.456944","53.231722"
"121","Chesterfield Roadside","chs7","2016-07-01",9.4,"-1.456944","53.231722"
"122","Chesterfield Roadside","chs7","2016-07-02",10.3,"-1.456944","53.231722"
"123","Chesterfield Roadside","chs7","2016-07-03",9.9,"-1.456944","53.231722"
"124","Chesterfield Roadside","chs7","2016-07-04",15,"-1.456944","53.231722"
"125","Chesterfield Roadside","chs7","2016-07-05",18.25,"-1.456944","53.231722"
"126","Chesterfield Roadside","chs7",NA,13.25,"-1.456944","53.231722"
"127","Chilbolton Observatory","chbo","2016-06-30",15.35,"-1.438228","51.149617"
"128","Chilbolton Observatory","chbo","2016-07-01",10.45,"-1.438228","51.149617"
"129","Chilbolton Observatory","chbo","2016-07-02",11.2,"-1.438228","51.149617"
"130","Chilbolton Observatory","chbo","2016-07-03",11.75,"-1.438228","51.149617"
"131","Chilbolton Observatory","chbo","2016-07-04",14.9,"-1.438228","51.149617"
"132","Chilbolton Observatory","chbo","2016-07-05",19.1,"-1.438228","51.149617"
"133","Chilbolton Observatory","chbo",NA,14.9,"-1.438228","51.149617"
"134","Coventry Allesley","coal","2016-06-30",15.7,"-1.560228","52.411563"
"135","Coventry Allesley","coal","2016-07-01",11.4,"-1.560228","52.411563"
"136","Coventry Allesley","coal","2016-07-02",14,"-1.560228","52.411563"
"137","Coventry Allesley","coal","2016-07-03",14.4,"-1.560228","52.411563"
"138","Coventry Allesley","coal","2016-07-04",17.3,"-1.560228","52.411563"
"139","Coventry Allesley","coal","2016-07-05",21.4,"-1.560228","52.411563"
"140","Coventry Allesley","coal",NA,15.8,"-1.560228","52.411563"
"141","Derry Rosemount","derr","2016-06-30",9.1,"-7.331179","55.002818"
"142","Derry Rosemount","derr","2016-07-01",7.65,"-7.331179","55.002818"
"143","Derry Rosemount","derr","2016-07-02",8.45,"-7.331179","55.002818"
"144","Derry Rosemount","derr","2016-07-03",9.95,"-7.331179","55.002818"
"145","Derry Rosemount","derr","2016-07-04",9.2,"-7.331179","55.002818"
"146","Derry Rosemount","derr","2016-07-05",12.2,"-7.331179","55.002818"
"147","Derry Rosemount","derr",NA,8.9,"-7.331179","55.002818"
"148","Eastbourne","eb","2016-06-30",15.55,"0.271611","50.805778"
"149","Eastbourne","eb","2016-07-01",14.35,"0.271611","50.805778"
